track_type,tier,species,metric,ac_a,ac_b,n_a,n_b,mean_a,mean_b,delta,U_stat,p_value,significant,direction,rbc,effect_size
roms,closure,Pseudo-nitzschia,prauc,ACOLITE,Baseline,50,50,0.71514,0.70723,-0.00792,1377.0,0.383171,False,ACOLITE_better,-0.1016,small
roms,closure,Pseudo-nitzschia,prauc,ACOLITE,C2RCC,50,50,0.71514,0.67,-0.04514,1862.0,2.5e-05,True,ACOLITE_better,-0.4896,medium
roms,closure,Pseudo-nitzschia,prauc,Baseline,C2RCC,50,50,0.70723,0.67,-0.03722,1746.0,0.000636,True,Baseline_better,-0.3968,medium
roms,warning,Alexandrium_catenella,f1,ACOLITE,Baseline,50,50,0.71434,0.6983,-0.01604,1829.0,6.7e-05,True,ACOLITE_better,-0.4632,medium
roms,warning,Alexandrium_catenella,f1,ACOLITE,C2RCC,50,50,0.71434,0.67431,-0.04004,2324.0,0.0,True,ACOLITE_better,-0.8592,large
roms,warning,Alexandrium_catenella,f1,Baseline,C2RCC,50,50,0.6983,0.67431,-0.02399,1954.0,1e-06,True,Baseline_better,-0.5632,large
roms,warning,Alexandrium_catenella,prauc,ACOLITE,Baseline,50,50,0.78751,0.78775,0.00024,1288.0,0.796007,False,Baseline_better,-0.0304,negligible
roms,warning,Alexandrium_catenella,prauc,ACOLITE,C2RCC,50,50,0.78751,0.75864,-0.02887,2175.0,0.0,True,ACOLITE_better,-0.74,large
roms,warning,Alexandrium_catenella,prauc,Baseline,C2RCC,50,50,0.78775,0.75864,-0.02911,2210.0,0.0,True,Baseline_better,-0.768,large
roms,warning,Dinophysis_acuminata,f1,ACOLITE,Baseline,50,50,0.77238,0.76844,-0.00394,1481.0,0.112051,False,ACOLITE_better,-0.1848,small
roms,warning,Dinophysis_acuminata,f1,ACOLITE,C2RCC,50,50,0.77238,0.76955,-0.00283,1471.0,0.128487,False,ACOLITE_better,-0.1768,small
roms,warning,Dinophysis_acuminata,f1,Baseline,C2RCC,50,50,0.76844,0.76955,0.00111,1194.0,0.70201,False,C2RCC_better,0.0448,negligible
roms,warning,Dinophysis_acuminata,prauc,ACOLITE,Baseline,50,50,0.86854,0.86326,-0.00528,1593.0,0.018219,True,ACOLITE_better,-0.2744,small
roms,warning,Dinophysis_acuminata,prauc,ACOLITE,C2RCC,50,50,0.86854,0.86093,-0.00761,1768.0,0.00036,True,ACOLITE_better,-0.4144,medium
roms,warning,Dinophysis_acuminata,prauc,Baseline,C2RCC,50,50,0.86326,0.86093,-0.00233,1402.0,0.296294,False,Baseline_better,-0.1216,small
roms,warning,Dinophysis_norvegica,f1,ACOLITE,Baseline,50,50,0.56979,0.55818,-0.0116,1572.5,0.02643,True,ACOLITE_better,-0.258,small
roms,warning,Dinophysis_norvegica,f1,ACOLITE,C2RCC,50,50,0.56979,0.49886,-0.07093,2362.0,0.0,True,ACOLITE_better,-0.8896,large
roms,warning,Dinophysis_norvegica,f1,Baseline,C2RCC,50,50,0.55818,0.49886,-0.05933,2299.0,0.0,True,Baseline_better,-0.8392,large
roms,warning,Dinophysis_norvegica,prauc,ACOLITE,Baseline,50,50,0.60418,0.60258,-0.0016,1289.0,0.790692,False,ACOLITE_better,-0.0312,negligible
roms,warning,Dinophysis_norvegica,prauc,ACOLITE,C2RCC,50,50,0.60418,0.54673,-0.05745,2206.0,0.0,True,ACOLITE_better,-0.7648,large
roms,warning,Dinophysis_norvegica,prauc,Baseline,C2RCC,50,50,0.60258,0.54673,-0.05585,2175.0,0.0,True,Baseline_better,-0.74,large
roms,warning,Karenia,f1,ACOLITE,Baseline,50,50,0.88957,0.88693,-0.00264,1444.0,0.182197,False,ACOLITE_better,-0.1552,small
roms,warning,Karenia,f1,ACOLITE,C2RCC,50,50,0.88957,0.87539,-0.01417,2111.5,0.0,True,ACOLITE_better,-0.6892,large
roms,warning,Karenia,f1,Baseline,C2RCC,50,50,0.88693,0.87539,-0.01153,1992.0,0.0,True,Baseline_better,-0.5936,large
roms,warning,Karenia,prauc,ACOLITE,Baseline,50,50,0.96334,0.96175,-0.00159,1516.0,0.0672,False,ACOLITE_better,-0.2128,small
roms,warning,Karenia,prauc,ACOLITE,C2RCC,50,50,0.96334,0.95674,-0.0066,2075.5,0.0,True,ACOLITE_better,-0.6604,large
roms,warning,Karenia,prauc,Baseline,C2RCC,50,50,0.96175,0.95674,-0.00501,1884.0,1.3e-05,True,Baseline_better,-0.5072,large
roms,warning,Pseudo-nitzschia,f1,ACOLITE,Baseline,50,50,0.77745,0.76396,-0.01349,1924.0,3e-06,True,ACOLITE_better,-0.5392,large
roms,warning,Pseudo-nitzschia,f1,ACOLITE,C2RCC,50,50,0.77745,0.74445,-0.033,2338.0,0.0,True,ACOLITE_better,-0.8704,large
roms,warning,Pseudo-nitzschia,f1,Baseline,C2RCC,50,50,0.76396,0.74445,-0.01951,2061.5,0.0,True,Baseline_better,-0.6492,large
roms,warning,Pseudo-nitzschia,prauc,ACOLITE,Baseline,50,50,0.84926,0.83123,-0.01803,1960.0,1e-06,True,ACOLITE_better,-0.568,large
roms,warning,Pseudo-nitzschia,prauc,ACOLITE,C2RCC,50,50,0.84926,0.82184,-0.02741,2156.5,0.0,True,ACOLITE_better,-0.7252,large
roms,warning,Pseudo-nitzschia,prauc,Baseline,C2RCC,50,50,0.83123,0.82184,-0.00938,1603.5,0.014953,True,Baseline_better,-0.2828,small
