ac,track,tier,species,threshold,n_positive,cv_f1_mean,cv_f1_median,cv_f1_std,cv_prauc_mean,cv_prauc_median,cv_prauc_std,cv_recall_mean,cv_recall_median,cv_recall_std,cv_precision_mean,cv_precision_median,cv_precision_std
Baseline,Baseline_roms,warning,Karenia,1000,2518,0.91974,0.9204,0.00873,0.97889,0.97921,0.00316,0.89008,0.89025,0.01479,0.9517,0.95177,0.0119
Baseline,Baseline_only,warning,Pseudo-nitzschia,2000,2132,0.61368,0.61491,0.03109,0.73166,0.73332,0.0304,0.52188,0.51935,0.03712,0.74727,0.75106,0.0376
Baseline,Baseline_roms,warning,Pseudo-nitzschia,2000,2132,0.72423,0.72519,0.02569,0.82133,0.82075,0.02396,0.66397,0.6637,0.03416,0.79831,0.79815,0.0338
C2RCC,C2RCC_only,warning,Alexandrium_catenella,100,1706,0.54985,0.55439,0.03665,0.63358,0.62955,0.03696,0.47878,0.48357,0.04331,0.64929,0.64618,0.04596
C2RCC,C2RCC_roms,warning,Alexandrium_catenella,100,1706,0.61786,0.61771,0.03418,0.70694,0.70597,0.03009,0.55316,0.55159,0.04311,0.70301,0.70539,0.04457
C2RCC,C2RCC_only,warning,Dinophysis_acuminata,200,3897,0.47811,0.47982,0.0259,0.50239,0.50164,0.03078,0.4597,0.46362,0.0313,0.49968,0.50132,0.03268
C2RCC,C2RCC_roms,warning,Dinophysis_acuminata,200,3897,0.49904,0.5,0.02558,0.53665,0.54118,0.02699,0.44805,0.44855,0.03027,0.56538,0.56741,0.03649
C2RCC,C2RCC_only,warning,Dinophysis_norvegica,200,1276,0.0797,0.0771,0.03217,0.15162,0.15098,0.02246,0.05149,0.04919,0.02153,0.18419,0.18899,0.07366
C2RCC,C2RCC_roms,warning,Dinophysis_norvegica,200,1276,0.12298,0.12075,0.04199,0.18543,0.18339,0.03,0.08422,0.08634,0.02992,0.23567,0.21131,0.08653
C2RCC,C2RCC_only,warning,Karenia,1000,2518,0.88132,0.88093,0.01125,0.96676,0.96713,0.00457,0.82846,0.82604,0.01925,0.94177,0.94308,0.01177
C2RCC,C2RCC_roms,warning,Karenia,1000,2518,0.91189,0.91113,0.00895,0.97699,0.97741,0.00391,0.88745,0.88637,0.01549,0.93795,0.93743,0.01026
C2RCC,C2RCC_only,warning,Pseudo-nitzschia,2000,2132,0.64254,0.64039,0.02638,0.72795,0.72798,0.02763,0.57426,0.5735,0.03222,0.7312,0.73265,0.03737
C2RCC,C2RCC_roms,warning,Pseudo-nitzschia,2000,2132,0.74021,0.74231,0.02441,0.82487,0.82513,0.02471,0.70161,0.70744,0.03329,0.78514,0.78907,0.03589
