ac,track,tier,species,fold,f1,prauc,recall,precision
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,27,0.67016,0.75644,0.60377,0.75294
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,28,0.67005,0.70215,0.61111,0.74157
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,29,0.65979,0.73938,0.60952,0.7191
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,30,0.66667,0.72278,0.58491,0.775
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,31,0.65193,0.74751,0.5463,0.80822
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,32,0.63054,0.73485,0.54237,0.75294
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,33,0.69036,0.78329,0.63551,0.75556
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,34,0.67021,0.75973,0.57798,0.79747
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,35,0.71921,0.79903,0.62931,0.83908
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,36,0.59701,0.67994,0.5042,0.73171
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,37,0.66667,0.79322,0.57843,0.78667
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,38,0.63682,0.70072,0.57658,0.71111
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,39,0.65306,0.72916,0.61538,0.69565
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,40,0.63905,0.72009,0.62791,0.6506
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,41,0.61307,0.6995,0.56481,0.67033
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,42,0.64615,0.74634,0.55752,0.76829
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,43,0.67725,0.76814,0.57143,0.83117
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,44,0.68932,0.77852,0.63964,0.74737
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,45,0.72727,0.81407,0.64151,0.83951
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,46,0.63918,0.74211,0.53913,0.78481
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,47,0.54545,0.66021,0.46667,0.65625
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,48,0.71569,0.76969,0.68868,0.7449
ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,49,0.66667,0.72387,0.64706,0.6875
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,0,0.26804,0.3087,0.22807,0.325
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,1,0.25581,0.32834,0.1746,0.47826
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,2,0.17647,0.22276,0.14754,0.21951
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,3,0.28571,0.2935,0.23333,0.36842
ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,4,0.24444,0.26345,0.18966,0.34375
