ac,track,tier,species,fold,n_positive,f1,prauc
C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,4,502,0.52374,0.91148
C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,5,51,0.575,0.62792
C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,6,55,0.19512,0.17854
C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,7,51,0.3908,0.35203
C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,8,52,0.23188,0.33308
C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,9,50,0.40909,0.41824
C2RCC,C2RCC_only,closure,Dinophysis_norvegica,0,4,0.0,0.08633
C2RCC,C2RCC_only,closure,Dinophysis_norvegica,1,205,0.0,0.12682
C2RCC,C2RCC_only,closure,Dinophysis_norvegica,2,4,0.0,0.00589
C2RCC,C2RCC_only,closure,Dinophysis_norvegica,3,7,0.0,0.01033
C2RCC,C2RCC_only,closure,Dinophysis_norvegica,4,7,0.0,0.00894
C2RCC,C2RCC_only,closure,Dinophysis_norvegica,5,5,0.0,0.02258
C2RCC,C2RCC_only,closure,Dinophysis_norvegica,6,5,0.0,0.0133
C2RCC,C2RCC_only,closure,Dinophysis_norvegica,7,6,0.0,0.0135
C2RCC,C2RCC_only,closure,Dinophysis_norvegica,8,7,0.0,0.02471
C2RCC,C2RCC_only,closure,Dinophysis_norvegica,9,5,0.0,0.03183
C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,0,4,0.0,0.02134
C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,1,205,0.0,0.1439
C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,2,4,0.0,0.00293
C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,3,7,0.0,0.00837
C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,4,7,0.0,0.00838
C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,5,5,0.0,0.02725
C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,6,5,0.0,0.01351
C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,7,6,0.0,0.01446
C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,8,7,0.0,0.02855
C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,9,5,0.0,0.04119
C2RCC,C2RCC_only,closure,Karenia,0,36,0.63158,0.63443
C2RCC,C2RCC_only,closure,Karenia,1,26,0.18182,0.27833
C2RCC,C2RCC_only,closure,Karenia,2,655,0.33661,0.51084
C2RCC,C2RCC_only,closure,Karenia,3,47,0.53521,0.6342
C2RCC,C2RCC_only,closure,Karenia,4,52,0.51613,0.59229
C2RCC,C2RCC_only,closure,Karenia,5,191,0.67692,0.6422
C2RCC,C2RCC_only,closure,Karenia,6,48,0.62338,0.71183
C2RCC,C2RCC_only,closure,Karenia,7,56,0.68627,0.67699
C2RCC,C2RCC_only,closure,Karenia,8,54,0.51852,0.65477
C2RCC,C2RCC_only,closure,Karenia,9,47,0.55696,0.70907
C2RCC,C2RCC_roms,closure,Karenia,0,36,0.37398,0.51218
C2RCC,C2RCC_roms,closure,Karenia,1,26,0.66667,0.59264
C2RCC,C2RCC_roms,closure,Karenia,2,655,0.51967,0.53466
C2RCC,C2RCC_roms,closure,Karenia,3,47,0.72941,0.81306
C2RCC,C2RCC_roms,closure,Karenia,4,52,0.66667,0.67051
C2RCC,C2RCC_roms,closure,Karenia,5,191,0.7126,0.64553
C2RCC,C2RCC_roms,closure,Karenia,6,48,0.73913,0.77049
C2RCC,C2RCC_roms,closure,Karenia,7,56,0.77778,0.7694
C2RCC,C2RCC_roms,closure,Karenia,8,54,0.61905,0.82357
C2RCC,C2RCC_roms,closure,Karenia,9,47,0.73684,0.80735
C2RCC,C2RCC_only,closure,Pseudo-nitzschia,0,22,0.23077,0.80004
C2RCC,C2RCC_only,closure,Pseudo-nitzschia,1,132,0.1039,0.11367
C2RCC,C2RCC_only,closure,Pseudo-nitzschia,2,19,0.25,0.41815
C2RCC,C2RCC_only,closure,Pseudo-nitzschia,3,31,0.38095,0.32424
C2RCC,C2RCC_only,closure,Pseudo-nitzschia,4,58,0.14634,0.1351
C2RCC,C2RCC_only,closure,Pseudo-nitzschia,5,25,0.14815,0.61883
C2RCC,C2RCC_only,closure,Pseudo-nitzschia,6,20,0.16,0.17808
C2RCC,C2RCC_only,closure,Pseudo-nitzschia,7,20,0.25,0.42831
C2RCC,C2RCC_only,closure,Pseudo-nitzschia,8,25,0.4,0.59835
C2RCC,C2RCC_only,closure,Pseudo-nitzschia,9,26,0.38889,0.56166
C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,0,22,0.60606,0.90761
C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,1,132,0.0,0.13699
C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,2,19,0.32,0.68149
C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,3,31,0.48889,0.47751
C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,4,58,0.25,0.19227
C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,5,25,0.52941,0.82086
C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,6,20,0.34483,0.30198
C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,7,20,0.38462,0.57155
C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,8,25,0.65,0.70334
C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,9,26,0.61905,0.66079
ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,0,67,0.45545,0.42324
ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,1,85,0.57364,0.51509
ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,2,190,0.26781,0.3406
ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,3,765,0.09797,0.5458
ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,4,76,0.65625,0.73872
ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,5,208,0.31642,0.41627
ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,6,80,0.51471,0.56255
ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,7,76,0.59701,0.65303
ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,8,75,0.57812,0.64031
ACOLITE,ACOLITE_only,warning,Alexandrium_catenella,9,72,0.43411,0.48184
ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,0,67,0.49485,0.64844
ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,1,85,0.59701,0.72293
ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,2,190,0.27615,0.41821
ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,3,765,0.05993,0.55444
ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,4,76,0.69173,0.79997
ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,5,208,0.32854,0.32264
ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,6,80,0.56716,0.6395
ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,7,76,0.63768,0.67396
ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,8,75,0.624,0.69958
ACOLITE,ACOLITE_roms,warning,Alexandrium_catenella,9,72,0.49206,0.60544
ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,0,280,0.20853,0.25243
ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,1,336,0.37913,0.4036
ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,2,726,0.9262,0.94032
ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,3,1175,0.82762,0.79964
ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,4,175,0.43165,0.52032
ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,5,587,0.91674,0.93986
ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,6,147,0.48763,0.4536
ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,7,145,0.45133,0.52981
ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,8,153,0.4186,0.49579
ACOLITE,ACOLITE_only,warning,Dinophysis_acuminata,9,157,0.58675,0.59034
ACOLITE,ACOLITE_roms,warning,Dinophysis_acuminata,0,280,0.20556,0.27188
ACOLITE,ACOLITE_roms,warning,Dinophysis_acuminata,1,336,0.33471,0.45543
