blocking,ac,tier,species,n_positive,threshold,cv_f1_mean_only,cv_f1_std_only,cv_f1_mean_roms,cv_f1_std_roms,delta_f1,cv_prauc_mean_only,cv_prauc_std_only,cv_prauc_mean_roms,cv_prauc_std_roms,delta_prauc
quadtree_random,Baseline,closure,Dinophysis_acuminata,2094,500,0.06875,0.10365,0.15584,0.11802,0.08709,0.24396,0.18271,0.31804,0.1849,0.07408
quadtree_random,Baseline,closure,Karenia,1208,5000,0.40457,0.26419,0.44427,0.23135,0.0397,0.56544,0.27855,0.61464,0.23382,0.0492
quadtree_random,Baseline,closure,Alexandrium_catenella,1294,300,0.37839,0.19344,0.38618,0.23087,0.00779,0.51183,0.16865,0.62239,0.21277,0.11056
quadtree_random,Baseline,closure,Dinophysis_norvegica,254,500,0.0,0.0,0.0,0.0,0.0,0.03279,0.02955,0.02958,0.0193,-0.00321
quadtree_random,C2RCC,closure,Alexandrium_catenella,1294,300,0.27928,0.19046,0.47497,0.25457,0.19569,0.43449,0.13742,0.61308,0.22623,0.17859
quadtree_random,C2RCC,closure,Karenia,1208,5000,0.32166,0.21255,0.41674,0.25314,0.09508,0.51816,0.23383,0.58948,0.24421,0.07132
quadtree_random,C2RCC,closure,Pseudo-nitzschia,379,13000,0.1126,0.14894,0.20273,0.19179,0.09013,0.28337,0.21596,0.41076,0.27277,0.12739
quadtree_random,C2RCC,closure,Dinophysis_acuminata,2094,500,0.09064,0.07286,0.15497,0.10517,0.06433,0.17738,0.14648,0.30902,0.16053,0.13164
quadtree_random,C2RCC,closure,Dinophysis_norvegica,254,500,0.0,0.0,0.0,0.0,0.0,0.04057,0.05771,0.02783,0.02089,-0.01274
quadtree_random,ACOLITE,warning,Karenia,2486,1000,0.43377,0.23304,0.49115,0.26737,0.05738,0.59669,0.25804,0.67847,0.25255,0.08178
quadtree_random,ACOLITE,warning,Alexandrium_catenella,1682,100,0.3494,0.19717,0.37357,0.21466,0.02417,0.43404,0.16338,0.50043,0.19517,0.06639
quadtree_random,ACOLITE,warning,Dinophysis_acuminata,3867,200,0.38067,0.09353,0.39296,0.13563,0.01229,0.48301,0.15904,0.52173,0.16119,0.03872
quadtree_random,ACOLITE,warning,Pseudo-nitzschia,2106,2000,0.39279,0.22347,0.39486,0.25997,0.00207,0.48983,0.18595,0.54133,0.1889,0.0515
quadtree_random,ACOLITE,warning,Dinophysis_norvegica,1262,200,0.03603,0.04213,0.02286,0.03725,-0.01317,0.16564,0.0814,0.16678,0.07164,0.00114
quadtree_random,Baseline,warning,Pseudo-nitzschia,2106,2000,0.36976,0.19853,0.46307,0.19326,0.09331,0.48307,0.14799,0.57124,0.1461,0.08817
quadtree_random,Baseline,warning,Karenia,2486,1000,0.46927,0.22111,0.52916,0.24434,0.05989,0.61431,0.26382,0.67842,0.26906,0.06411
quadtree_random,Baseline,warning,Alexandrium_catenella,1682,100,0.33119,0.1749,0.34718,0.19209,0.01599,0.42304,0.18752,0.50766,0.18119,0.08462
quadtree_random,Baseline,warning,Dinophysis_acuminata,3867,200,0.32221,0.11536,0.33702,0.14563,0.01481,0.44704,0.16642,0.48855,0.16678,0.04151
quadtree_random,Baseline,warning,Dinophysis_norvegica,1262,200,0.0043,0.0129,0.00083,0.00249,-0.00347,0.1356,0.06195,0.15682,0.05107,0.02122
quadtree_random,C2RCC,warning,Alexandrium_catenella,1682,100,0.27502,0.15025,0.40398,0.20757,0.12896,0.36031,0.13984,0.48788,0.17465,0.12757
quadtree_random,C2RCC,warning,Pseudo-nitzschia,2106,2000,0.33142,0.1374,0.40286,0.18745,0.07144,0.44526,0.11085,0.57172,0.13649,0.12646
quadtree_random,C2RCC,warning,Karenia,2486,1000,0.42425,0.22049,0.45481,0.26318,0.03056,0.60822,0.2134,0.656,0.24103,0.04778
quadtree_random,C2RCC,warning,Dinophysis_acuminata,3867,200,0.37989,0.09984,0.38317,0.11643,0.00328,0.41712,0.16881,0.48217,0.16591,0.06505
quadtree_random,C2RCC,warning,Dinophysis_norvegica,1262,200,0.03088,0.03886,0.00791,0.01658,-0.02297,0.13844,0.07901,0.14591,0.08686,0.00747
