blocking,ac,track,tier,species,threshold,n_positive,n_spatial_groups,cv_f1_mean,cv_f1_median,cv_f1_std,cv_prauc_mean,cv_prauc_median,cv_prauc_std
grid,C2RCC,C2RCC_only,warning,Karenia,1000,2481,399,0.56985,0.56264,0.1862,0.68716,0.72512,0.16616
grid,C2RCC,C2RCC_roms,warning,Karenia,1000,2481,399,0.62158,0.66019,0.20233,0.75084,0.79725,0.16174
grid,C2RCC,C2RCC_only,warning,Pseudo-nitzschia,2000,2121,399,0.44012,0.44535,0.15113,0.52307,0.57052,0.15598
grid,C2RCC,C2RCC_roms,warning,Pseudo-nitzschia,2000,2121,399,0.555,0.58764,0.12428,0.65402,0.68517,0.13167
quadtree_adaptive,ACOLITE,ACOLITE_only,closure,Alexandrium_catenella,300,1301,401,0.4384,0.46945,0.21465,0.52858,0.53632,0.17601
quadtree_adaptive,ACOLITE,ACOLITE_roms,closure,Alexandrium_catenella,300,1301,401,0.50058,0.54287,0.23108,0.59837,0.62116,0.19345
quadtree_adaptive,ACOLITE,ACOLITE_only,closure,Dinophysis_acuminata,500,2093,401,0.38392,0.2612,0.24317,0.39677,0.29,0.2509
quadtree_adaptive,ACOLITE,ACOLITE_roms,closure,Dinophysis_acuminata,500,2093,401,0.40524,0.38951,0.13135,0.51492,0.43549,0.21273
quadtree_adaptive,ACOLITE,ACOLITE_only,closure,Dinophysis_norvegica,500,255,401,0.0,0.0,0.0,0.04034,0.0242,0.04697
quadtree_adaptive,ACOLITE,ACOLITE_roms,closure,Dinophysis_norvegica,500,255,401,0.0,0.0,0.0,0.05282,0.03829,0.04792
quadtree_adaptive,ACOLITE,ACOLITE_only,closure,Karenia,5000,1210,401,0.58266,0.5641,0.13207,0.6889,0.73639,0.14583
quadtree_adaptive,ACOLITE,ACOLITE_roms,closure,Karenia,5000,1210,401,0.66047,0.71011,0.16827,0.73463,0.77862,0.13443
quadtree_adaptive,ACOLITE,ACOLITE_only,closure,Pseudo-nitzschia,13000,381,401,0.32424,0.36678,0.19951,0.47043,0.50703,0.17166
quadtree_adaptive,ACOLITE,ACOLITE_roms,closure,Pseudo-nitzschia,13000,381,401,0.44866,0.47857,0.17497,0.58432,0.62241,0.2072
quadtree_adaptive,Baseline,Baseline_only,closure,Alexandrium_catenella,300,1301,401,0.42064,0.4381,0.2159,0.51372,0.48994,0.17238
quadtree_adaptive,Baseline,Baseline_roms,closure,Alexandrium_catenella,300,1301,401,0.48097,0.54974,0.23105,0.60097,0.62517,0.20849
quadtree_adaptive,Baseline,Baseline_only,closure,Dinophysis_acuminata,500,2093,401,0.37481,0.34,0.26081,0.40979,0.34231,0.26434
quadtree_adaptive,Baseline,Baseline_roms,closure,Dinophysis_acuminata,500,2093,401,0.41265,0.38976,0.15649,0.48941,0.46459,0.20891
quadtree_adaptive,Baseline,Baseline_only,closure,Dinophysis_norvegica,500,255,401,0.0,0.0,0.0,0.04725,0.01561,0.06396
quadtree_adaptive,Baseline,Baseline_roms,closure,Dinophysis_norvegica,500,255,401,0.0,0.0,0.0,0.0346,0.0168,0.04408
quadtree_adaptive,Baseline,Baseline_only,closure,Karenia,5000,1210,401,0.45661,0.44043,0.12861,0.63474,0.66889,0.16399
quadtree_adaptive,Baseline,Baseline_roms,closure,Karenia,5000,1210,401,0.54055,0.5375,0.15874,0.70402,0.72693,0.15376
quadtree_adaptive,Baseline,Baseline_only,closure,Pseudo-nitzschia,13000,381,401,0.25423,0.26344,0.12586,0.43028,0.47118,0.19473
quadtree_adaptive,Baseline,Baseline_roms,closure,Pseudo-nitzschia,13000,381,401,0.45094,0.51923,0.18993,0.54138,0.61011,0.23021
quadtree_adaptive,C2RCC,C2RCC_only,closure,Alexandrium_catenella,300,1301,401,0.38256,0.36809,0.19051,0.47009,0.43116,0.17096
quadtree_adaptive,C2RCC,C2RCC_roms,closure,Alexandrium_catenella,300,1301,401,0.49294,0.55298,0.23134,0.59462,0.60371,0.19411
quadtree_adaptive,C2RCC,C2RCC_only,closure,Dinophysis_acuminata,500,2093,401,0.31126,0.28526,0.20556,0.34382,0.2391,0.26529
quadtree_adaptive,C2RCC,C2RCC_roms,closure,Dinophysis_acuminata,500,2093,401,0.3608,0.31504,0.1552,0.46075,0.46199,0.21905
quadtree_adaptive,C2RCC,C2RCC_only,closure,Dinophysis_norvegica,500,255,401,0.0,0.0,0.0,0.02231,0.00981,0.0363
quadtree_adaptive,C2RCC,C2RCC_roms,closure,Dinophysis_norvegica,500,255,401,0.0,0.0,0.0,0.03174,0.0156,0.04776
quadtree_adaptive,C2RCC,C2RCC_only,closure,Karenia,5000,1210,401,0.53333,0.58916,0.18439,0.61833,0.68104,0.17272
quadtree_adaptive,C2RCC,C2RCC_roms,closure,Karenia,5000,1210,401,0.599,0.67083,0.1653,0.69688,0.69427,0.16139
quadtree_adaptive,C2RCC,C2RCC_only,closure,Pseudo-nitzschia,13000,381,401,0.21931,0.23429,0.11832,0.44945,0.49511,0.18127
quadtree_adaptive,C2RCC,C2RCC_roms,closure,Pseudo-nitzschia,13000,381,401,0.48171,0.56349,0.19625,0.58805,0.63989,0.24132
