blocking,ac,track,tier,species,fold,n_positive,f1,prauc
clustering,Baseline,Baseline_only,closure,Alexandrium_catenella,7,67,0.4717,0.49696
clustering,Baseline,Baseline_only,closure,Alexandrium_catenella,8,66,0.60377,0.66436
clustering,Baseline,Baseline_only,closure,Alexandrium_catenella,9,66,0.31068,0.35746
clustering,Baseline,Baseline_roms,closure,Alexandrium_catenella,0,58,0.70833,0.8392
clustering,Baseline,Baseline_roms,closure,Alexandrium_catenella,1,637,0.01855,0.46111
clustering,Baseline,Baseline_roms,closure,Alexandrium_catenella,2,56,0.41096,0.64617
clustering,Baseline,Baseline_roms,closure,Alexandrium_catenella,3,57,0.6875,0.85888
clustering,Baseline,Baseline_roms,closure,Alexandrium_catenella,4,85,0.50382,0.465
clustering,Baseline,Baseline_roms,closure,Alexandrium_catenella,5,153,0.2071,0.22532
clustering,Baseline,Baseline_roms,closure,Alexandrium_catenella,6,65,0.54902,0.62702
clustering,Baseline,Baseline_roms,closure,Alexandrium_catenella,7,67,0.52,0.60477
clustering,Baseline,Baseline_roms,closure,Alexandrium_catenella,8,66,0.72072,0.7778
clustering,Baseline,Baseline_roms,closure,Alexandrium_catenella,9,66,0.3913,0.53367
clustering,Baseline,Baseline_only,closure,Dinophysis_acuminata,0,29,0.06557,0.03909
clustering,Baseline,Baseline_only,closure,Dinophysis_acuminata,1,836,0.56029,0.69189
clustering,Baseline,Baseline_only,closure,Dinophysis_acuminata,2,23,0.4186,0.34523
clustering,Baseline,Baseline_only,closure,Dinophysis_acuminata,3,32,0.17778,0.19373
clustering,Baseline,Baseline_only,closure,Dinophysis_acuminata,4,444,0.73302,0.66167
clustering,Baseline,Baseline_only,closure,Dinophysis_acuminata,5,501,0.87564,0.93506
clustering,Baseline,Baseline_only,closure,Dinophysis_acuminata,6,57,0.21875,0.17964
clustering,Baseline,Baseline_only,closure,Dinophysis_acuminata,7,57,0.16471,0.21491
clustering,Baseline,Baseline_only,closure,Dinophysis_acuminata,8,58,0.12308,0.37183
clustering,Baseline,Baseline_only,closure,Dinophysis_acuminata,9,58,0.21687,0.30138
clustering,Baseline,Baseline_roms,closure,Dinophysis_acuminata,0,29,0.15385,0.12654
clustering,Baseline,Baseline_roms,closure,Dinophysis_acuminata,1,836,0.35656,0.69459
clustering,Baseline,Baseline_roms,closure,Dinophysis_acuminata,2,23,0.1875,0.30543
clustering,Baseline,Baseline_roms,closure,Dinophysis_acuminata,3,32,0.15,0.29599
clustering,Baseline,Baseline_roms,closure,Dinophysis_acuminata,4,444,0.52503,0.58777
clustering,Baseline,Baseline_roms,closure,Dinophysis_acuminata,5,501,0.6675,0.90207
clustering,Baseline,Baseline_roms,closure,Dinophysis_acuminata,6,57,0.32308,0.21342
clustering,Baseline,Baseline_roms,closure,Dinophysis_acuminata,7,57,0.19277,0.27252
clustering,Baseline,Baseline_roms,closure,Dinophysis_acuminata,8,58,0.4557,0.58126
clustering,Baseline,Baseline_roms,closure,Dinophysis_acuminata,9,58,0.42222,0.44441
clustering,Baseline,Baseline_only,closure,Dinophysis_norvegica,0,6,0.0,0.00805
clustering,Baseline,Baseline_only,closure,Dinophysis_norvegica,1,205,0.0,0.15019
clustering,Baseline,Baseline_only,closure,Dinophysis_norvegica,2,5,0.0,0.03734
clustering,Baseline,Baseline_only,closure,Dinophysis_norvegica,3,5,0.0,0.20389
clustering,Baseline,Baseline_only,closure,Dinophysis_norvegica,4,6,0.0,0.01448
clustering,Baseline,Baseline_only,closure,Dinophysis_norvegica,5,7,0.0,0.01307
clustering,Baseline,Baseline_only,closure,Dinophysis_norvegica,6,4,0.0,0.01516
clustering,Baseline,Baseline_only,closure,Dinophysis_norvegica,7,6,0.0,0.18907
clustering,Baseline,Baseline_only,closure,Dinophysis_norvegica,8,7,0.0,0.1681
clustering,Baseline,Baseline_only,closure,Dinophysis_norvegica,9,4,0.0,0.00794
clustering,Baseline,Baseline_roms,closure,Dinophysis_norvegica,0,6,0.0,0.006
clustering,Baseline,Baseline_roms,closure,Dinophysis_norvegica,1,205,0.0,0.15574
clustering,Baseline,Baseline_roms,closure,Dinophysis_norvegica,2,5,0.0,0.15956
clustering,Baseline,Baseline_roms,closure,Dinophysis_norvegica,3,5,0.0,0.07071
clustering,Baseline,Baseline_roms,closure,Dinophysis_norvegica,4,6,0.0,0.01055
