ac,track,species,fold,r2,rmse,mae
ACOLITE,ACOLITE_only,Dinophysis_acuminata,16,0.55679,1277.89936,451.9654
ACOLITE,ACOLITE_only,Dinophysis_acuminata,17,0.52274,10063.47908,776.2022
ACOLITE,ACOLITE_only,Dinophysis_acuminata,18,0.58482,2040.73228,494.28303
ACOLITE,ACOLITE_only,Dinophysis_acuminata,19,0.48359,6189.17638,663.87709
ACOLITE,ACOLITE_only,Dinophysis_acuminata,20,0.56249,2214.20763,560.25961
ACOLITE,ACOLITE_only,Dinophysis_acuminata,21,0.53337,803.69738,395.6081
ACOLITE,ACOLITE_only,Dinophysis_acuminata,22,0.55332,1470.51703,448.27014
ACOLITE,ACOLITE_only,Dinophysis_acuminata,23,0.58017,6372.12464,671.34216
ACOLITE,ACOLITE_only,Dinophysis_acuminata,24,0.53314,1232.91854,486.17557
ACOLITE,ACOLITE_only,Dinophysis_acuminata,25,0.51863,6254.67264,677.38026
ACOLITE,ACOLITE_only,Dinophysis_acuminata,26,0.56439,1273.41655,463.87876
ACOLITE,ACOLITE_only,Dinophysis_acuminata,27,0.55253,1063.00531,444.35684
ACOLITE,ACOLITE_only,Dinophysis_acuminata,28,0.51362,10260.42514,808.36343
ACOLITE,ACOLITE_only,Dinophysis_acuminata,29,0.54698,1210.70334,457.70693
ACOLITE,ACOLITE_only,Dinophysis_acuminata,30,0.54687,1404.61949,482.9911
ACOLITE,ACOLITE_only,Dinophysis_acuminata,31,0.55974,6016.13113,649.61601
ACOLITE,ACOLITE_only,Dinophysis_acuminata,32,0.50604,1605.5672,471.99843
ACOLITE,ACOLITE_only,Dinophysis_acuminata,33,0.56864,1361.29034,476.70868
ACOLITE,ACOLITE_only,Dinophysis_acuminata,34,0.581,5981.81821,622.24207
ACOLITE,ACOLITE_only,Dinophysis_acuminata,35,0.57564,1754.14706,504.91968
ACOLITE,ACOLITE_only,Dinophysis_acuminata,36,0.53905,2051.02801,492.90212
ACOLITE,ACOLITE_only,Dinophysis_acuminata,37,0.54672,1406.586,462.17594
ACOLITE,ACOLITE_only,Dinophysis_acuminata,38,0.55471,1015.4795,420.37386
ACOLITE,ACOLITE_only,Dinophysis_acuminata,39,0.5403,6058.10705,658.39204
ACOLITE,ACOLITE_only,Dinophysis_acuminata,40,0.55645,976.89432,411.53825
ACOLITE,ACOLITE_only,Dinophysis_acuminata,41,0.51731,10059.84064,757.43963
ACOLITE,ACOLITE_only,Dinophysis_acuminata,42,0.5304,9977.62589,760.04086
ACOLITE,ACOLITE_only,Dinophysis_acuminata,43,0.4848,1039.60142,422.52707
ACOLITE,ACOLITE_only,Dinophysis_acuminata,44,0.53096,1340.05766,484.48576
ACOLITE,ACOLITE_only,Dinophysis_acuminata,45,0.53154,857.10039,426.61981
ACOLITE,ACOLITE_only,Dinophysis_acuminata,46,0.54909,1165.65764,473.90994
ACOLITE,ACOLITE_only,Dinophysis_acuminata,47,0.52532,6503.57382,719.09459
ACOLITE,ACOLITE_only,Dinophysis_acuminata,48,0.56566,2048.34667,507.85744
ACOLITE,ACOLITE_only,Dinophysis_acuminata,49,0.52937,1397.38155,413.62555
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,0,0.58503,730.50983,385.27018
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,1,0.55788,9985.56502,740.72135
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,2,0.57004,2338.3873,499.51381
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,3,0.57552,1804.54914,491.63009
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,4,0.51954,2110.44126,532.81772
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,5,0.61355,1834.89077,534.90512
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,6,0.57489,10307.20034,840.65683
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,7,0.59543,6336.74029,699.52057
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,8,0.57848,1509.13867,486.84901
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,9,0.52614,10276.70286,895.2907
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,10,0.58832,6154.932,660.07402
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,11,0.5532,1909.91797,478.70016
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,12,0.57253,1041.22402,449.86324
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,13,0.57588,1336.26876,477.04676
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,14,0.53111,10455.23391,900.64411
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,15,0.5344,11867.26083,1017.1738
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,16,0.58573,1252.67376,439.31194
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,17,0.54983,10063.31672,768.53908
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,18,0.61063,2038.26053,492.42796
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,19,0.52806,6188.00169,655.46292
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,20,0.59653,2307.05271,558.45697
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,21,0.56166,835.44374,384.51844
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,22,0.57583,1382.08392,453.51871
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,23,0.61127,6363.07689,665.65056
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,24,0.57603,1135.80118,464.42802
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,25,0.57727,6213.55453,654.50421
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,26,0.60368,1340.29661,455.79345
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,27,0.6005,997.59595,428.19007
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,28,0.54381,10250.65283,806.64665
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,29,0.55466,1239.87421,456.80986
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,30,0.5865,1341.18778,460.89733
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,31,0.59875,5898.25448,633.73016
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,32,0.55662,1532.18648,450.75519
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,33,0.58291,1291.34185,474.06112
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,34,0.61364,5933.10163,612.21709
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,35,0.60127,1742.52913,505.24683
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,36,0.56342,2026.37158,490.58178
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,37,0.57979,1346.91205,470.10793
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,38,0.57229,1109.9864,430.25761
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,39,0.54093,6046.34925,660.75665
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,40,0.5777,967.87886,403.95618
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,41,0.53161,10049.08446,744.43631
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,42,0.56202,9974.85599,747.13522
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,43,0.53127,994.39697,417.35923
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,44,0.55082,1255.96601,474.61008
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,45,0.57825,835.64622,405.81269
ACOLITE,ACOLITE_roms,Dinophysis_acuminata,46,0.5824,1062.17231,456.57371
