ac,track,tier,species,threshold,n_positive,cv_f1_mean,cv_f1_median,cv_f1_std,cv_prauc_mean,cv_prauc_median,cv_prauc_std,cv_recall_mean,cv_recall_median,cv_recall_std,cv_precision_mean,cv_precision_median,cv_precision_std
Baseline,Baseline_only,warning,Dinophysis_norvegica,200,1276,0.65615,0.65758,0.02722,0.72543,0.72244,0.0302,0.61253,0.61609,0.03015,0.7081,0.70915,0.04018
Baseline,Baseline_roms,warning,Dinophysis_norvegica,200,1276,0.66366,0.66391,0.02646,0.71821,0.71557,0.032,0.6186,0.61814,0.0272,0.71733,0.71739,0.04129
Baseline,Baseline_only,warning,Karenia,1000,2518,0.61432,0.62102,0.06031,0.68019,0.67744,0.05895,0.53603,0.53448,0.07194,0.72743,0.72361,0.07089
Baseline,Baseline_roms,warning,Karenia,1000,2518,0.48837,0.5,0.07381,0.67146,0.67054,0.05471,0.35289,0.35016,0.07623,0.82216,0.82376,0.07629
Baseline,Baseline_only,warning,Pseudo-nitzschia,2000,2132,0.77744,0.77873,0.02113,0.8494,0.85685,0.02107,0.78117,0.78431,0.02501,0.77447,0.77998,0.0287
Baseline,Baseline_roms,warning,Pseudo-nitzschia,2000,2132,0.7893,0.7942,0.01827,0.83779,0.83568,0.02335,0.80708,0.81013,0.02401,0.77305,0.77325,0.02665
C2RCC,C2RCC_only,warning,Alexandrium_catenella,100,1706,0.65381,0.65565,0.02535,0.76079,0.76159,0.02923,0.5784,0.57469,0.02834,0.75321,0.7508,0.03517
C2RCC,C2RCC_roms,warning,Alexandrium_catenella,100,1706,0.71334,0.71977,0.02721,0.80513,0.80686,0.02754,0.65676,0.65683,0.03588,0.78226,0.77834,0.03279
C2RCC,C2RCC_only,warning,Dinophysis_acuminata,200,3897,0.84876,0.84765,0.01022,0.92702,0.92869,0.00856,0.84983,0.84928,0.0127,0.8479,0.84771,0.01489
C2RCC,C2RCC_roms,warning,Dinophysis_acuminata,200,3897,0.86735,0.86776,0.00918,0.93975,0.93997,0.00995,0.89033,0.89083,0.01154,0.84577,0.84733,0.01576
C2RCC,C2RCC_only,warning,Dinophysis_norvegica,200,1276,0.54967,0.54158,0.02983,0.62173,0.61721,0.03236,0.46864,0.46386,0.03527,0.66713,0.66411,0.03523
C2RCC,C2RCC_roms,warning,Dinophysis_norvegica,200,1276,0.60565,0.59909,0.03284,0.67008,0.66823,0.03641,0.5378,0.53297,0.04005,0.69541,0.69611,0.03786
C2RCC,C2RCC_only,warning,Karenia,1000,2518,0.50524,0.5065,0.07309,0.58488,0.59305,0.07746,0.39135,0.38015,0.07473,0.72954,0.73607,0.09903
C2RCC,C2RCC_roms,warning,Karenia,1000,2518,0.38567,0.38369,0.06888,0.63613,0.64273,0.07241,0.25256,0.24993,0.05588,0.84833,0.85833,0.09479
C2RCC,C2RCC_only,warning,Pseudo-nitzschia,2000,2132,0.73001,0.72607,0.01921,0.81533,0.81574,0.02142,0.71263,0.70862,0.02623,0.74909,0.74727,0.02495
C2RCC,C2RCC_roms,warning,Pseudo-nitzschia,2000,2132,0.74713,0.74591,0.02382,0.81705,0.81535,0.02454,0.75073,0.74763,0.03115,0.74446,0.73898,0.02905
